# Paper Link : https://www.scopus.com/pages/publications/84896066044

param: nodes:            E        	D      	    P   pmax:=         
 252             	117.1115797 	0.000602486048    0     0	                
 254             	113.860072  	0.000539066464    0     0	                
 255             	113.8601657 	0.00031709792     0     0	                
 256             	118.1083084 	0.00031709792     0     0	                
 26              	122.7730631 	0.0007927448      0     0	                
 27              	122.4547303 	0.000856164384    0     0	                
 28              	118.2902303 	0.004724759006    0     0	                
 29              	111.1905826 	0.00063419584     0     0	                
 91         	        122.2936847 	0.000348807712    0     0	                
 310            	123.1425047 	0.000             0     0	                
 3100           	118.9629871 	0.000             0     0	                
 3101           	118.9639837 	0.000             0     0	                
 3102           	121.1145262 	0.000             0     0	                
 3103           	121.9481567 	0.000             0     0	                
 3104           	123.3607235 	0.000             0     0	                
 3105           	123.5527693 	0.000             0     0	                
 3106           	124.0273588 	0.000             0     0	                
 3107           	116.669828  	0.000             0     0	                
 3108           	114.3573757 	0.000             0     0	                
 3109           	114.3248357 	0.000             0     0	                
 311            	105.3688741 	0.000             0     0	                
 3110           	114.1632823 	0.000             0     0	                
 3111           	115.0117055 	0.000             0     0	                
 3112           	115.3117819 	0.000             0     0	                
 3113           	115.8258544 	0.000             0     0	                
 3114           	115.8478066 	0.000             0     0	                
 3115           	115.8523059 	0.000             0     0	                
 3116           	116.14325   	0.000             0     0	                
 3117           	108.7048506 	0.000             0     0	                
 3118           	107.4157059 	0.000             0     0	                
 3119           	111.6826597 	0.000             0     0	                
 312            	114.4052897 	0.000             0     0	                
 3122           	108.9791985 	0.000             0     0	                
 3123           	106.8460188 	0.000             0     0	                
 3125           	123.6782759 	0.000             0     0	                
 313            	115.1316722 	0.000             0     0	                
 314            	114.7865544 	0.000             0     0	                
 316            	116.8854141 	0.000             0     0	                
 317            	116.9424341 	0.000             0     0	                
 318            	117.7715434 	0.000             0     0	                
 32             	116.309939  	0.000             0     0	                
 322            	118.836681  	0.000             0     0	                
 323            	119.3056465 	0.000             0     0	                
 324            	121.0508823 	0.000             0     0	                
 325            	121.4576682 	0.000             0     0	                
 327            	122.3023414 	0.000             0     0	                
 328            	121.781833  	0.000             0     0	                
 329            	121.644389  	0.000             0     0	                
 33             	115.918799  	0.000             0     0	                
 330            	120.3502409 	0.000             0     0	                
 331            	116.5106438 	0.000             0     0	                
 332            	112.5926573 	0.000285388128    0     0	                
 333            	117.802328  	0.000             0     0	                
 337            	109.941775  	0.000             0     0	                
 341            	105.5039951 	0.000073637184    0     0	                
 35             	114.4034715 	0.000             0     0	                
 350            	121.3607886 	0.000063419584    0     0	                
 352            	123.4863514 	0.000             0     0	                
 355            	122.0412726 	0.000             0     0	                
 36             	114.7762376 	0.000             0     0	                
 360            	115.5425261 	0.000             0     0	                
 361            	114.1374729 	0.000             0     0	                
 362            	114.3501377 	0.000             0     0	                
 363            	116.991759  	0.000             0     0	                
 364            	116.5927417 	0.000             0     0	                
 365            	118.632583  	0.000             0     0	                
 366            	118.9236905 	0.000             0     0	                
 367            	118.1645365 	0.000             0     0	                
 368            	118.5284775 	0.000             0     0	                
 369            	118.4920997 	0.000             0     0	                
 37             	105.6646751 	0.000             0     0	                
 370            	118.4079664 	0.000             0     0	                
 371            	119.1862016 	0.000             0     0	                
 372            	120.4720849 	0.000             0     0	                
 373            	119.8169237 	0.000             0     0	                
 374            	120.2867871 	0.000             0     0	                
 377            	120.8396402 	0.000             0     0	                
 378            	120.4872832 	0.000             0     0	                
 380            	119.1415723 	0.000             0     0	                
 381            	118.1459011 	0.000             0     0	                
 382            	117.808331  	0.000             0     0	                
 383            	117.3840257 	0.000             0     0	                
 385            	119.7250267 	0.000             0     0	                
 386            	117.4352665 	0.000             0     0	                
 387            	117.3592229 	0.000             0     0	                
 388            	117.3383156 	0.000             0     0	                
 389            	121.2732868 	0.000             0     0	                
 39             	124.1174978 	0.000             0     0	                
 390            	121.1735674 	0.000             0     0	                
 392            	123.0250409 	0.000             0     0	                
 393            	122.9508127 	0.000             0     0	                
 394            	115.5178275 	0.000             0     0	                
 395            	115.8710039 	0.000             0     0	                
 396            	116.5980191 	0.000             0     0	                
 397            	117.8580219 	0.000             0     0	                
 398            	117.0194197 	0.000             0     0	                
 399            	120.5777848 	0.000             0     0	                
 51           	        108.942604  	0.000232538475    0     0	                	
 52           	        106.7812307 	0.000232538475    0     0	                	
 53           	        113.6940268 	0.000232538475    0     0	                	
 54           	        122.2859997 	0.000232538475    0     0	                	
 55           	        123.5838616 	0.000232538475    0     0	                	
 56           	        123.0433427 	0.000232538475    0     0	                	
 61             	116.3754985 	0.001014713343    0     0	                
 71025          	105.1918992 	0.000             0     0 	                
 71182          	105.5344039 	0.000             0     0 	                
 71197          	105.5857446 	0.000             0     0 	                
 71291          	105.7020982 	0.000             0     0 	                
 71318          	105.8208498 	0.000             0     0 	                
 71325          	105.8201542 	0.000             0     0 	                
 71419          	106.0221428 	0.000             0     0 	                
 71475          	106.1468972 	0.000             0     0 	                
 71487          	106.1364478 	0.000             0     0 	                
 71493          	106.1615623 	0.000             0     0 	                
 71693          	106.4812645 	0.000             0     0 	                
 71709          	106.5040943 	0.000             0     0 	                
 71925          	106.6051958 	0.000             0     0 	                
 72055          	106.6844762 	0.000             0     0 	                
 72103          	106.701846  	0.000             0     0 	                
 72432          	106.8917517 	0.000             0     0 	                
 72448          	107.0126924 	0.000             0     0 	                
 72450          	107.1465539 	0.000             0     0 	                
 72476          	107.4435571 	0.000             0     0 	                
 72486          	107.6126387 	0.000             0     0 	                
 72489          	107.6232527 	0.000             0     0 	                
 72511          	107.9286094 	0.000             0     0 	                
 72521          	108.0349459 	0.000             0     0 	                
 72530          	108.0545752 	0.000             0     0 	                
 72535          	108.105949  	0.000             0     0 	                
 72548          	108.3123673 	0.000             0     0 	                
 72549          	108.3480291 	0.000             0     0 	                
 72571          	108.508867  	0.000             0     0 	                
 72574          	108.5439986 	0.000             0     0 	                
 72576          	108.5953113 	0.000             0     0 	                
 72582          	108.6372785 	0.000             0     0 	                
 72599          	108.7908953 	0.000             0     0 	                
 72618          	108.9245978 	0.000             0     0 	                
 72632          	109.0201651 	0.000             0     0 	                
 72634          	109.0476137 	0.000             0     0 	                
 72659          	109.218618  	0.000             0     0 	                
 72680          	109.3060311 	0.000             0     0 	                
 72681          	109.2611445 	0.000             0     0 	                
 72692          	109.4453921 	0.000             0     0 	                
 72695          	109.4301918 	0.000             0     0 	                
 72702          	109.5310889 	0.000             0     0 	                
 72710          	109.4808361 	0.000             0     0 	                
 72711          	109.5441553 	0.000             0     0 	                
 72712          	109.5441694 	0.000             0     0 	                
 72763          	109.7000311 	0.000             0     0 	                
 72776          	109.7695516 	0.000             0     0 	                
 72793          	109.8539366 	0.000             0     0 	                
 72817          	109.8941778 	0.000             0     0 	                
 72838          	109.9429904 	0.000             0     0 	                
 72894          	110.1734878 	0.000             0     0 	                
 72906          	110.1894088 	0.000             0     0 	                
 72971          	110.5552003 	0.000             0     0 	                
 72998          	110.6359756 	0.000             0     0 	                
 73058          	110.9590069 	0.000             0     0 	                
 73065          	110.9957374 	0.000             0     0 	                
 73086          	111.0948224 	0.000             0     0 	                
 73094          	111.2067327 	0.000             0     0 	                
 73105          	111.2811036 	0.000             0     0 	                
 73145          	111.459238  	0.000             0     0 	                
 73177          	111.5585976 	0.000             0     0 	                
 73184          	111.5623856 	0.000             0     0 	                
 73185          	111.6125133 	0.000             0     0 	                
 73215          	111.697715  	0.000             0     0 	                
 73219          	111.7717012 	0.000             0     0 	                
 73260          	111.8822111 	0.000             0     0 	                
 73282          	112.0453983 	0.000             0     0 	                
 73339          	112.1444492 	0.000             0     0 	                
 73563          	112.2121085 	0.000             0     0 	                
 73580          	112.2580652 	0.000             0     0 	                
 73589          	112.3018362 	0.000             0     0 	                
 73592          	112.2474557 	0.000             0     0 	                
 73594          	112.2482239 	0.000             0     0 	                
 73604          	112.2911843 	0.000             0     0 	                
 73610          	112.2751104 	0.000             0     0 	                
 73621          	112.3202354 	0.000             0     0 	                
 73629          	112.3374684 	0.000             0     0 	                
 73646          	112.4006321 	0.000             0     0 	                
 73665          	112.4339095 	0.000             0     0 	                
 73671          	112.4610227 	0.000             0     0 	                
 73677          	112.5040468 	0.000             0     0 	                
 73693          	112.6561859 	0.000             0     0 	                
 73744          	112.9394522 	0.000             0     0 	                
 73747          	112.9607122 	0.000             0     0 	                
 73750          	112.9665858 	0.000             0     0 	                
 73766          	113.0060225 	0.000             0     0 	                
 73781          	113.0712384 	0.000             0     0 	                
 73796          	113.1053501 	0.000             0     0 	                
 73823          	113.1534326 	0.000             0     0 	                
 73834          	113.1803427 	0.000             0     0 	                
 73842          	113.2651122 	0.000             0     0 	                
 73843          	113.311166  	0.000             0     0 	                
 73887          	113.5971228 	0.000             0     0 	                
 73895          	113.6382612 	0.000             0     0 	                
 73904          	113.7033296 	0.000             0     0 	                
 73906          	113.7358794 	0.000             0     0 	                
 73913          	113.7431878 	0.000             0     0 	                
 73920          	113.7889316 	0.000             0     0 	                
 73926          	113.7891471 	0.000             0     0 	                
 73946          	113.9256101 	0.000             0     0 	                
 73959          	113.9491378 	0.000             0     0 	                
 74026          	114.1589679 	0.000             0     0 	                
 74042          	114.2191397 	0.000             0     0 	                
 74069          	114.3281772 	0.000             0     0 	                
 74114          	114.4922616 	0.000             0     0 	                
 74116          	114.5102751 	0.000             0     0 	                
 74158          	114.7922231 	0.000             0     0 	                
 74167          	114.9394161 	0.000             0     0 	                
 74179          	114.9523499 	0.000             0     0 	                
 74181          	114.9589002 	0.000             0     0 	                
 74184          	114.9790595 	0.000             0     0 	                
 74205          	115.0424942 	0.000             0     0 	                
 74209          	114.9923391 	0.000             0     0 	                
 74213          	115.0697405 	0.000             0     0 	                
 74233          	115.2066122 	0.000             0     0 	                
 74235          	115.2172699 	0.000             0     0 	                
 74260          	115.416751  	0.000             0     0 	                
 74346          	115.8260827 	0.000             0     0 	                
 74375          	115.902237  	0.000             0     0 	                
 74376          	115.9147198 	0.000             0     0 	                
 74433          	116.1737963 	0.000             0     0 	                
 74442          	116.1462892 	0.000             0     0 	                
 74444          	116.170729  	0.000             0     0 	                
 74503          	116.4314264 	0.000             0     0 	                
 74505          	116.4602134 	0.000             0     0 	                
 74510          	116.5141936 	0.000             0     0 	                
 74518          	116.5543738 	0.000             0     0 	                
 74544          	116.618869  	0.000             0     0 	                
 74546          	116.6149978 	0.000             0     0 	                
 74566          	116.6723771 	0.000             0     0 	                
 74640          	117.1956289 	0.000             0     0 	                
 74669          	117.2711286 	0.000             0     0 	                
 74708          	117.3173884 	0.000             0     0 	                
 74714          	117.3898076 	0.000             0     0 	                
 74727          	117.4348756 	0.000             0     0 	                
 74766          	117.7268735 	0.000             0     0 	                
 74767          	117.6888398 	0.000             0     0 	                
 74821          	117.8830677 	0.000             0     0 	                
 74860          	118.0324415 	0.000             0     0 	                
 74922          	118.3699719 	0.000             0     0 	                
 74948          	118.4778382 	0.000             0     0 	                
 74995          	118.7857198 	0.000             0     0 	                
 75010          	118.8193455 	0.000             0     0 	                
 75024          	118.89115   	0.000             0     0 	                
 75042          	118.9240364 	0.000             0     0 	                
 75080          	119.1196595 	0.000             0     0 	                
 75123          	119.2059277 	0.000             0     0 	                
 75185          	119.367945  	0.000             0     0 	                
 75192          	119.4405643 	0.000             0     0 	                
 75207          	119.4642227 	0.000             0     0 	                
 75217          	119.5132357 	0.000             0     0 	                
 75243          	119.5817586 	0.000             0     0 	                
 75278          	119.7601742 	0.000             0     0 	                
 75291          	119.7656943 	0.000             0     0 	                
 75296          	119.800211  	0.000             0     0 	                
 75312          	119.9160326 	0.000             0     0 	                
 75316          	119.9184093 	0.000             0     0 	                
 75324          	119.9112414 	0.000             0     0 	                
 75326          	119.9114853 	0.000             0     0 	                
 75412          	120.2935157 	0.000             0     0 	                
 75450          	120.5650339 	0.000             0     0 	                
 75494          	120.6530668 	0.000             0     0 	                
 75498          	120.6892151 	0.000             0     0 	                
 75504          	120.7126273 	0.000             0     0 	                
 75516          	120.7378352 	0.000             0     0 	                
 75538          	120.8757599 	0.000             0     0 	                
 75544          	120.9250069 	0.000             0     0 	                
 75556          	121.0023657 	0.000             0     0 	                
 75557          	120.9667215 	0.000             0     0 	                
 75573          	121.1517606 	0.000             0     0 	                
 75583          	121.1616513 	0.000             0     0 	                
 75587          	121.2040479 	0.000             0     0 	                
 75607          	121.308577  	0.000             0     0 	                
 75620          	121.3156022 	0.000             0     0 	                
 75621          	121.3471951 	0.000             0     0 	                
 75624          	121.3840179 	0.000             0     0 	                
 75643          	121.4333841 	0.000             0     0 	                
 75687          	121.5496229 	0.000             0     0 	                
 75690          	121.5806807 	0.000             0     0 	                
 75705          	121.5129211 	0.000             0     0 	                
 75708          	121.6033439 	0.000             0     0 	                
 75717          	121.6444784 	0.000             0     0 	                
 75730          	121.7067189 	0.000             0     0 	                
 75736          	121.7658797 	0.000             0     0 	                
 75762          	121.8088702 	0.000             0     0 	                
 75776          	121.9439845 	0.000             0     0 	                
 75782          	121.9674185 	0.000             0     0 	                
 75789          	121.9342748 	0.000             0     0 	                
 75790          	121.983182  	0.000             0     0 	                
 75814          	122.0843115 	0.000             0     0 	                
 75816          	122.1900197 	0.000             0     0 	                
 75817          	122.0888367 	0.000             0     0 	                
 75820          	122.0968994 	0.000             0     0 	                
 75840          	122.2481665 	0.000             0     0 	                
 75847          	122.1723537 	0.000             0     0 	                
 75849          	122.2524539 	0.000             0     0 	                
 75851          	122.2936847 	0.000             0     0 	                
 75866          	122.3243355 	0.000             0     0 	                
 75868          	122.2541894 	0.000             0     0 	                
 75872          	122.3555171 	0.000             0     0 	                
 75886          	122.469187  	0.000             0     0 	                
 75897          	122.6242869 	0.000             0     0 	                
 75898          	122.6450771 	0.000             0     0 	                
 75900          	122.6676984 	0.000             0     0 	                
 75902          	122.7068471 	0.000             0     0 	                
 75911          	122.7980655 	0                 0     0                 
 75912          	122.9370791 	0                 0     0                 
 75921          	122.936979  	0                 0     0                 
 75924          	123.0483189 	0                 0     0                 
 75925          	122.9924597 	0                 0     0                 
 75934          	123.1460251 	0                 0     0                 
 75945          	123.1845821 	0                 0     0                 
 75946          	123.1905671 	0                 0     0                 
 75951          	123.2271092 	0                 0     0                 
 75956          	123.2759956 	0                 0     0                 
 75962          	123.2973626 	0                 0     0                 
 75968          	123.3283097 	0                 0     0                 
 7598           	104.844953  	0                 0     0                 
 75988          	123.3812269 	0                 0     0                 
 76375          	123.484822  	0                 0     0                 
 76419          	123.5553142 	0                 0     0                 
 76529          	123.8797135 	0                 0     0                 
 76556          	124.1329879 	0                 0     0                 
 76602          	124.3548394 	0                 0     0                 
 242             	112.4339095 	0.001744038559    0     0	                
 81             	169.56      	0	          0     0 			
 86             	169.4       	0                 0     0  	;					

set Source:= 86 81;

param: arcs:                    L                       vmax :=
73594          	73592          	3.153219758 	        0           
75326          	75324          	6.901723779 	        0           
75956          	75945          	377.9491524 	        0           
72712          	72702          	415.9255293 	        0           
75951          	75968          	418.4695656 	        0           
74213          	74167          	537.0739695 	        0           
72103          	72055          	538.8714716 	        0           
75583          	75620          	638.2421    	        0           
75312          	75278          	862.8703964 	        0           
73671          	73594          	875.1639825 	        0           
75736          	75782          	903.9139406 	        0           
72906          	72838          	1016.154092 	        0           
75817          	75762          	1153.108197 	        0           
74042          	74114          	1162.309543 	        0           
75776          	75717          	1233.966121 	        0           
73904          	73913          	1242.774299 	        0           
73913          	73904          	1242.774553 	        0           
73629          	73693          	1310.769976 	        0           
74860          	74922          	1392.123484 	        0           
73842          	73843          	1492.403164 	        0           
72634          	72695          	1574.186801 	        0           
75968          	75956          	1596.739357 	        0           
75291          	75185          	1640.47     	        0           
75851          	75776          	2006.087164 	        0           
75866          	75849          	2059.34073  	        0           
75911          	75868          	2244.959478 	        0           
76375          	76529          	2360.323074 	        0           
74766          	74669          	2540.60484  	        0           
72548          	72489          	2835.332098 	        0           
75816          	75912          	3079.776299 	        0           
72582          	72574          	3114.498839 	        0           
75921          	75820          	3458.379361 	        0           
75814          	75925          	3743.601719 	        0           
7598           	71025          	5554.4      	        0           
75817          	75820          	230.68      	        0           
75820          	75868          	4649.18     	        0           
75962          	75988          	2451.74     	        0           
75925          	75921          	1627.3      	        0           
75814          	75817          	1493.52     	        0           
75921          	75911          	4074.48     	        0           
75868          	75847          	2091.85     	        0           
75705          	75847          	2716.37     	        0           
75705          	75762          	6660.65     	        0           
75945          	75925          	5567.54     	        0           
75789          	75762          	7977.58     	        0           
75789          	75946          	5180.63     	        0           
75946          	75945          	448.89      	        0           
75583          	75557          	5939.73     	        0           
75291          	75557          	6130.92     	        0           
75557          	75538          	2771.71     	        0           
75538          	75789          	4357.43     	        0           
75185          	75516          	12903.85    	        0           
74727          	74767          	8016.43     	        0           
74821          	74860          	4359.77     	        0           
75185          	74922          	4336.75     	        0           
74708          	74727          	3274.63     	        0           
74767          	74503          	5144.68     	        0           
74503          	74209          	5882.42     	        0           
74116          	74209          	2877.62     	        0           
74505          	74566          	2658.51     	        0           
74566          	74821          	5700.01     	        0           
74669          	74714          	809.3       	        0           
74714          	74505          	6177.44     	        0           
75243          	75324          	1389.53     	        0           
74922          	74948          	3239.62     	        0           
74948          	75243          	4661.29     	        0           
75324          	75291          	5473.67     	        0           
75494          	75544          	8462.97     	        0           
75312          	75316          	118.9       	        0           
75316          	75217          	2286.51     	        0           
75217          	75296          	1184.74     	        0           
75296          	75042          	4276.64     	        0           
75217          	75207          	202.3       	        0           
75207          	74766          	8216.93     	        0           
75042          	75243          	5769.16     	        0           
75042          	74714          	7483.41     	        0           
74669          	74444          	7204.1      	        0           
74444          	32             	810.63      	        0           
32             	74505          	917.56      	        0           
32             	74442          	987.89      	        0           
74444          	33             	1541.01     	        0           
33             	74442          	942.36      	        0           
33             	74233          	2918.32     	        0           
74181          	74179          	2467.95     	        0           
74375          	74546          	3423.66     	        0           
74546          	74640          	2397.99     	        0           
74346          	74376          	2913        	        0           
74376          	74510          	2471.4      	        0           
74213          	74346          	3114.64     	        0           
74544          	74510          	3171.18     	        0           
75010          	75123          	1597.98     	        0           
75024          	75010          	2461.09     	        0           
75412          	75123          	5731.11     	        0           
75412          	75504          	1726.85     	        0           
75607          	75687          	1721.03     	        0           
75708          	75730          	476.51      	        0           
75504          	75556          	2061.3      	        0           
75621          	75556          	1924.19     	        0           
75504          	75607          	3366.15     	        0           
75730          	75621          	3325.56     	        0           
75717          	75687          	2753.48     	        0           
75708          	75776          	3007.21     	        0           
75897          	75782          	4633.82     	        0           
75643          	75624          	268.56      	        0           
75624          	75587          	1211.61     	        0           
75587          	75849          	4504.96     	        0           
75866          	75900          	1411.09     	        0           
75902          	75900          	1196.51     	        0           
75902          	75934          	1809.84     	        0           
75934          	75924          	3234.95     	        0           
75924          	76529          	3767.68     	        0           
76419          	76556          	3346.75     	        0           
76602          	76556          	2109.11     	        0           
75886          	75898          	1677.36     	        0           
75872          	75851          	1981.36     	        0           
75912          	75872          	7083.42     	        0           
75816          	75573          	12443.56    	        0           
75690          	75573          	1774.63     	        0           
75498          	75450          	3640.71     	        0           
75192          	75498          	5144.98     	        0           
75192          	75080          	2020.62     	        0           
74260          	74433          	3589.75     	        0           
74433          	74544          	5482.46     	        0           
73339          	73747          	3362.41     	        0           
73747          	73744          	1002.24     	        0           
73339          	73282          	2903.74     	        0           
74114          	36             	1196.27     	        0           
36             	74179          	7292.46     	        0           
74205          	74184          	3223.16     	        0           
74184          	74167          	1258.36     	        0           
73946          	73796          	4413.28     	        0           
73750          	73796          	571.59      	        0           
73796          	73766          	3226.05     	        0           
73766          	73823          	606.66      	        0           
73823          	73920          	2615.38     	        0           
73920          	73906          	1649.86     	        0           
73906          	74069          	2440.19     	        0           
73693          	74026          	6678.9      	        0           
74026          	74069          	2369.85     	        0           
73766          	73563          	3264.92     	        0           
73629          	110             1483.66     	        0           
110             73260           2848.28     	        0           
73629          	73592          	2995.6      	        0           
73065          	73260          	3649.83     	        0           
73065          	73086          	2894.45     	        0           
73086          	73215          	3112.71     	        0           
73215          	73145          	982.47      	        0           
73145          	73177          	3086.5      	        0           
73177          	73563          	4662.12     	        0           
73750          	73621          	2665.12     	        0           
73781          	73750          	3201.64     	        0           
73781          	73677          	2348.52     	        0           
73677          	73604          	874.59      	        0           
73604          	73580          	857.79      	        0           
73580          	73621          	2943.29     	        0           
73781          	73959          	4004.15     	        0           
73219          	73580          	2004.46     	        0           
73185          	73219          	3379.87     	        0           
73744          	73677          	6083.97     	        0           
73105          	73282          	3154.1      	        0           
73105          	72998          	3624.59     	        0           
72998          	72971          	2412.66     	        0           
72971          	73185          	4356.56     	        0           
72702          	73094          	6993.48     	        0           
72711          	72971          	8005        	        0           
72571          	72711          	4873.1      	        0           
72549          	72571          	662.33      	        0           
72511          	72549          	1723.91     	        0           
72521          	72571          	3868.87     	        0           
73589          	73339          	4847.43     	        0           
73094          	73177          	2357.96     	        0           
73177          	72692          	10780.97    	        0           
72680          	72692          	2005.92     	        0           
72489          	72521          	3213.94     	        0           
72511          	72486          	2710.35     	        0           
72103          	72486          	3749.69     	        0           
72055          	71025          	6144.79     	        0           
72486          	72450          	3638.85     	        0           
72450          	72489          	1946.82     	        0           
72432          	71709          	1695.35     	        0           
71709          	72450          	5112.71     	        0           
71318          	71197          	5046.54     	        0           
72680          	72659          	3190.38     	        0           
72659          	72599          	2472.07     	        0           
72599          	72535          	3186.52     	        0           
72535          	72432          	5657.96     	        0           
71475          	71709          	3170.26     	        0           
71693          	72432          	3622.49     	        0           
71493          	71693          	2907.19     	        0           
71197          	71475          	2492.81     	        0           
71475          	71325          	2971.05     	        0           
71325          	71291          	1359.23     	        0           
71182          	37             	718.4       	        0           
37             	71487          	4788.93     	        0           
71487          	71925          	1924.36     	        0           
71925          	71419          	5436.01     	        0           
37             	71419          	1465.33     	        0           
71291          	71182          	1115.34     	        0           
72599          	72576          	6490.45     	        0           
72576          	72634          	2494.21     	        0           
72634          	72618          	4067.17     	        0           
72618          	72530          	5202.13     	        0           
72530          	72476          	3176.49     	        0           
71925          	72476          	4294.08     	        0           
73086          	72894          	4748.5      	        0           
72894          	72793          	3347.86     	        0           
72793          	72695          	4853.2      	        0           
72695          	72817          	2238.88     	        0           
72793          	73058          	7746.51     	        0           
73058          	73184          	2477.98     	        0           
73184          	73610          	2933.4      	        0           
73610          	73646          	516.21      	        0           
73646          	73671          	3357.8      	        0           
73646          	73834          	3212.97     	        0           
73834          	73843          	2955.66     	        0           
73842          	73913          	1976.47     	        0           
73665          	73895          	4960.16     	        0           
73895          	74158          	7040.64     	        0           
73926          	74042          	2537.32     	        0           
73834          	73926          	3226.33     	        0           
74158          	74209          	824.56      	        0           
74158          	35             	2215.17     	        0           
35             	74116          	772.08      	        0           
74116          	53           	6596.92     	        0           
73887          	35             	6455.19     	        0           
73887          	53           	577.25      	        0           
72838          	72681          	3746.24     	        0           
72681          	72776          	2281.8      	        0           
72776          	72710          	2226.74     	        0           
72632          	72710          	1931.56     	        0           
72574          	72681          	3185.26     	        0           
72763          	72710          	5723.31     	        0           
72476          	72582          	7322.71     	        0           
72582          	72632          	1573.15     	        0           
71925          	72448          	4108.4      	        0           
75851          	75886          	832.49      	        0           
75898          	75897          	611.24      	        0           
76375          	76419          	401.01      	        0           
75730          	75736          	258.4       	        0           
75621          	75624          	157.83      	        0           
75544          	75583          	968.98      	        0           
39             	75962          	3380.25     	        0           
75962          	310            	4647.34     	        0           
310            	75921          	844.93      	        0           
75956          	75988          	448.94      	        0           
313            	74235          	349.61      	        0           
313            	74233          	2750.89     	        0           
313            	312            	2989.11     	        0           
74114          	312            	2937.83     	        0           
312            	73904          	4708.64     	        0           
7598           	247             7368.22     	        0           
37             	246             1           	        0           
71493          	222             1           	        0           
71709          	230             1           	        0           
72511          	244             1           	        0           
3117           	23              3961.04     	        0           
72998          	25              1           	        0           
73185          	216             1           	        0           
73219          	215             1           	        0           
314            	74260          	2954.63     	        0           
74518          	316            	1365.63     	        0           
316            	318            	4722.89     	        0           
74544          	317            	1763.65     	        0           
317            	252             1           	        0           
366            	229             5502.84     	        0           
322            	235             1           	        0           
74995          	322            	1433.54     	        0           
322            	75080          	1167.26     	        0           
323            	75123          	3098.71     	        0           
75080          	323            	5744.8      	        0           
75504          	239             1           	        0           
75717          	325            	770.82      	        0           
325            	75690          	3559.84     	        0           
75498          	324            	1488.82     	        0           
324            	75573          	3424.54     	        0           
75816          	234             1           	        0           
75851          	91         	1850.8      	        0           
76556          	233             1           	        0           
75902          	26              1           	        0           
75782          	327            	1635.88     	        0           
327            	75840          	1531.01     	        0           
75736          	329            	1973.09     	        0           
329            	75643          	1594.13     	        0           
75643          	328            	1955.13     	        0           
328            	75840          	1920.83     	        0           
328            	251             1           	        0           
75544          	220             4187.05     	        0           
75544          	330            	2375.89     	        0           
330            	75324          	2873.5      	        0           
333            	74767          	3542.99     	        0           
331            	74503          	2279.4      	        0           
53           	231             2738.83     	        0           
74042          	255             1           	        0           
312            	249             3546.24     	        0           
72618          	226             1           	        0           
72681          	248             1           	        0           
72763          	337            	2662.05     	        0           
337            	72817          	3128.67     	        0           
72448          	218             1           	        0           
73260          	29              3005.07     	        0           
72894          	221             1           	        0           
73766          	250             1           	        0           
17              227     	2562.35     	        0           
