###########################################################################################
# PARAMETERS' DEFINITION FOR THE FARHADGERD NETWORK
# Source: Table A1, A2, A3 (Farhadgerd water distribution network)
# 53 demand/junction nodes + 1 reservoir (node 0 = R-1)
# Node mapping: R-1=0, J-1=1, J-2=2, ..., J-53=53
# Demands converted from L/s to m^3/s (divided by 1000)
# Hazen-Williams C: 120 or 130 per pipe (see comments in arcs)
# Minimum pressure = 15 m above ground level at all demand nodes
# All pipe diameters are decision variables (no fixed existing pipes)
# Candidate diameters from Table A1

# paper link:  https://cdnsciencepub.com/doi/10.1139/cjce-2018-0137

###########################################################################################

param: nodes:         E             D                P              pmax :=
# P-56: 51 -> 28,  L=299.1446,  C=130
       51             28          299.1446      130     0 
# P-55: 1  -> 43,  L=135.5139,  C=120
        1             43          135.5139      120     0 
# P-54: 43 -> 39,  L=444.0197,  C=120
       43             39          444.0197      120     0 
# P-53: 45 -> 31,  L=505.6546,  C=120
       45             31          505.6546      120     0 
# P-52: 47 -> 26,  L=247.9111,  C=130
       47             26          247.9111      130     0 
# P-47: 53 -> 27,  L=445.0974,  C=130
       53             27          445.0974      130     0 
# P-38: 52 -> 53,  L=504.6454,  C=130
       52             53          504.6454      130     0 
# P-36: 53 -> 13,  L=468.0775,  C=130
       53             13          468.0775      130     0 
# P-32: 48 -> 52,  L=16.5572,   C=130
       48             52           16.5572      130     0 
# P-31: 46 -> 13,  L=16.3047,   C=120
       46             13           16.3047      120     0 
# P-30: 45 -> 13,  L=52.5861,   C=120
       45             13           52.5861      120     0 
# P-24: 46 -> 30,  L=14.3932,   C=120
       46             30           14.3932      120     0 
# P-15: 47 -> 52,  L=74.3145,   C=130
       47             52           74.3145      130     0 
# P-14: 48 -> 24,  L=13.5482,   C=130
       48             24           13.5482      130     0 ;

# P-65: 46 -> 30,  L=14.3932,   C=120  (parallel to P-24, same route)
# P-66: 46 -> 13,  L=16.3047,   C=120  (parallel to P-31, same route)
# P-67: 48 -> 24,  L=13.5482,   C=130  (parallel to P-14, same route)
# P-68: 48 -> 52,  L=16.5572,   C=130  (parallel to P-32, same route)


set Source := 0 ;
#param H_source := 510.0 ;

param d_min := 0.0638;
param d_max := 0.4000;

# Candidate pipe diameters from Table A1
# C column: per-pipe values differ (120 or 130) — set to 120 as conservative default;
# actual C per pipe can be enforced in a per-arc C parameter if solver supports it
param: pipes:       d                   C :=
       1            0.0638              638
       2            0.0792              792
       3            0.0968              968
       4            0.1500             1500
       5            0.2000             2000
       6            0.2500             2500
       7            0.3000             3000
       8            0.3500             3500
       9            0.4000             4000 ;
