###########################################################################################
# PARAMETERS' DEFINITION FOR THE MODENA NETWORK from
# "On the Optimal Design of Water Distribution Networks: a Practical MINLP Approach"
# by Cristiana Bragalli, Claudia D'Ambrosio, Jon Lee, Andrea Lodi, Paolo Toth
# Optimization and Engineering, 2011
###########################################################################################
# Cristiana Bragalli, DISTART, University of Bologna, cristiana.bragalli@unibo.it
# Claudia D'Ambrosio, DEIS, University of Bologna, c.dambrosio@unibo.it
# Jon Lee, IBM T.J. Watson Research Center, jonlee@us.ibm.com
# Andrea Lodi, DEIS, University of Bologna, andrea.lodi@unibo.it
# Paolo Toth, DEIS, University of Bologna, paolo.toth@unibo.it
###########################################################################################

#Node's parameters: elevation, water demand, minumum pressure, maximum pressure

param: nodes:     E          D            P           pmax :=
       149       35.686        0.00043           20             38.814
       150       35.317        0.00156           20             39.183
       151       35.81         0.00080           20             38.69
       152       35.812        0.00138           20             38.688
       153       36.019        0.00053           20             38.481
       154       38.254        0.00059           20             36.246
       155       37.504        0.00233           20             36.996
       156       37.536        0.00003           20             36.964
       157       37.079        0.00031           20             37.421
       158       36.755        0.00849           20             37.745
       159       35.885        0.00032           20             38.615
       160       35.768        0.00021           20             38.732
       161       34.704        0.00002           20             39.796
       162       35.369        0.00123           20             39.131
       163       34.993        0.00099           20             39.507
       164       35.927        0.00055           20             38.573
       165       36.265        0.00078           20             38.235
       166       32.667        0.00027           20             41.833
       167       32.754        0.00027           20             41.746
       168       32.884        0.00007           20             41.616
       169       34.085        0.00947           20             40.415
       170       36.093        0.00264           20             38.407
       171       36.049        0.00102           20             38.451
       172       36.041        0.00088           20             38.459
       173       36.017        0.00049           20             38.483
       174       31.757        0.00000           20             42.743
       175       31.91         0.00112           20             42.59
       176       31.799        0.00000           20             42.701
       177       31.483        0.00000           20             43.017
       178       31.116        0.00001           20             43.384
       179       31.096        0.00000           20             43.404
       180       31.194        0.00000           20             43.306
       181       30.392        0.00000           20             44.108
       182       30.547        0.00001           20             43.953
       183       31.134        0.00184           20             43.366
       184       31.81         0.00004           20             42.69
       185       32.345        0.00168           20             42.155
       186       32.826        0.00237           20             41.674
       187       33.694        0.00009           20             40.806
       188       33.175        0.00123           20             41.325
       189       33.229        0.00390           20             41.271
       190       33.343        0.00117           20             41.157
       191       33.772        0.00170           20             40.728
       192       33.768        0.00215           20             40.732
       193       32.204        0.00400           20             42.296
       194       34.405        0.00446           20             40.095
       195       33.389        0.00005           20             41.111
       196       34.345        0.00001           20             40.155
       197       35.027        0.00412           20             39.473
       198       34.439        0.00039           20             40.061
       199       34.534        0.00015           20             39.966
       200       34.935        0.00182           20             39.565
       201       34.704        0.00343           20             39.796
       202       36.7          0.00062           20             37.8
       203       36.203        0.00417           20             38.297
       204       35.031        0.00226           20             39.469
       205       36.765        0.00101           20             37.735
       206       36.197        0.00054           20             38.303
       207       37.879        0.00077           20             36.621
       208       38.035        0.00033           20             36.465
       209       36.863        0.00115           20             37.637
       210       37.238        0.00153           20             37.262
       211       36.658        0.00000           20             37.842
       212       36.49         0.00030           20             38.01
       213       37.3          0.00032           20             37.2
       214       40.299        0.00056           20             34.201
       215       39.849        0.00000           20             34.651
       216       40.998        0.00019           20             33.502
       217       41.16         0.00142           20             33.34
       218       35.049        0.00059           20             39.451
       219       33.92         0.00148           20             40.58
       220       32.144        0.00092           20             42.356
       221       34.167        0.00033           20             40.333
       222       35.097        0.00006           20             39.403
       223       31.549        0.00046           20             42.951
       224       31.745        0.00072           20             42.755
       225       32.066        0.00000           20             42.434
       226       31.944        0.00000           20             42.556
       227       31.657        0.00020           20             42.843
       228       31.04         0.00008           20             43.46
       229       31.05         0.00130           20             43.45
       230       38.492        0.00107           20             36.008
       231       35.684        0.00103           20             38.816
       232       35.39         0.00003           20             39.11
       233       34.888        0.00115           20             39.612
       234       34.858        0.00143           20             39.642
       235       34.995        0.00486           20             39.505
       236       32.541        0.00471           20             41.959
       237       34.413        0.00134           20             40.087
       238       36.157        0.00187           20             38.343
       239       35.305        0.00082           20             39.195
       240       35.171        0.00094           20             39.329
       241       32.918        0.00009           20             41.582
       242       33.066        0.00128           20             41.434
       243       31.91         0.00043           20             42.59
       244       32.002        0.00051           20             42.498
       245       32.048        0.00000           20             42.452
       246       32.054        0.00001           20             42.446
       247       30.705        0.00001           20             43.795
       248       31.332        0.00000           20             43.168
       249       36.296        0.00175           20             38.204
       250       35.831        0.00103           20             38.669
       251       36.945        0.00126           20             37.555
       252       38.013        0.00136           20             36.487
       253       36.65         0.00014           20             37.85
       254       36.905        0.00000           20             37.595
       255       36.773        0.00196           20             37.727
       256       31.497        0.00221           20             43.003
       257       38.651        0.00062           20             35.849
       258       39.543        0.00000           20             34.957
       259       39.581        0.00050           20             34.919
       260       39.581        0.00011           20             34.919
       261       40.551        0.00012           20             33.949
       262       40.786        0.00022           20             33.714
       263       40.954        0.00128           20             33.546
       264       37.755        0.00019           20             36.745
       265       35.963        0.00022           20             38.537
       266       36.809        0.00119           20             37.691
       267       36.211        0.00169           20             38.289
       268       35.612        0.00043           20             38.888 #;
       269       72            0                 5              5
       270       73.8            0                 5.8            5.8
       271       73             0                 73             73
       272       74.5             0                 74.5           74.5 ;

#Pipe's parameters: start node, end node, length, maximum velocity

param: arcs:          L           vmax    :=
1                16             46.843            2
16               2              267.677           2
2                3              541.065           2
3                4              542.294           2
4                5              404.716           2
5                206            151.672           2
206              6              341.569           2
1                140            39.908            2
140              143            269.729           2
143              145            45.917            2
145              146            890.088           2
146              148            33.789            2
148              63             6.028             2
63               149            367.921           2
149              150            97.658            2
150              60             322.195           2
60               61             359.475           2
61               218            199.588           2
1                141            57.065            2
141              142            223.414           2
142              144            47.034            2
144              257            782.670           2
257              53             231.871           2
53               251            279.843           2
251              57             145.703           2
57               58             81.098            2
58               59             550.168           2
53               230            155.628           2
230              252            357.812           2
252              3              267.318           2
3                13             612.501           2
13               12             160.500           2
12               11             531.713           2
1                258            41.906            2
258              259            95.215            2
259              260            25.127            2
260              215            158.124           2
215              261            95.397            2
261              77             52.920            2
77               262            44.918            2
262              216            127.045           2
216              263            56.682            2
263              76             181.288           2
76               217            220.900           2
217              75             67.648            2
75               74             36.059            2
74               73             242.294           2
73               72             70.455            2
72               71             112.827           2
71               70             105.717           2
70               69             199.424           2
69               68             180.639           2
68               78             288.764           2
78               154            69.261            2
154              79             718.445           2
79               155            390.779           2
155              156            24.004            2
156              95             504.523           2
95               96             41.776            2
96               97             367.934           2
97               157            101.859           2
157              98             125.360           2
98               158            699.760           2
158              136            448.054           2
136              159            114.289           2
159              160            197.304           2
160              137            235.980           2
137              135            224.870           2
135              222            176.728           2
222              161            76.438            2
161              131            356.944           2
131              242            443.789           2
242              130            20.550            2
130              241            113.332           2
241              168            25.959            2
168              167            145.037           2
167              166            55.243            2
166              129            208.218           2
129              125            190.433           2
125              246            70.983            2
246              245            52.042            2
245              124            34.034            2
124              225            79.471            2
225              226            277.993           2
176              227            86.029            2
227              177            296.255           2
177              180            111.299           2
180              178            123.368           2
178              179            196.271           2
179              228            198.458           2
228              229            75.618            2
229              121            110.143           2
121              118            423.574           2
118              117            116.569           2
117              181            100.612           2
181              182            164.842           2
182              116            47.487            2
116              247            87.538            2
49               184            189.266           2
184              41             244.799           2
41               248            293.470           2
248              40             308.638           2
40               39             566.566           2
226              176            95.143            2
247              183            248.547           2
183              49             187.785           2
39               38             357.671           2
38               37             700.573           2
37               193            404.463           2
193              36             160.864           2
36               194            557.418           2
194              27             127.015           2
27               26             46.660            2
26               195            674.323           2
195              33             50.758            2
26               196            138.536           2
196              25             199.330           2
25               232            231.120           2
232              24             187.064           2
24               231            240.644           2
231              7              173.442           2
7                6              23.581            2
6                28             526.738           2
28               249            500.719           2
249              29             15.289            2
7                8              265.917           2
8                23             355.515           2
23               207            189.777           2
207              208            28.178            2
208              22             129.340           2
22               21             361.243           2
21               264            223.518           2
20               210            185.174           2
210              209            154.948           2
209              19             34.712            2
264              20             31.141            2
19               253            42.520            2
253              18             356.448           2
18               211            128.823           2
211              212            140.659           2
212              11             113.316           2
11               10             555.228           2
10               4              272.682           2
59               203            315.876           2
203              202            284.930           2
202              31             97.928            2
265              32             262.939           2
32               33             635.819           2
33               34             415.728           2
34               35             122.602           2
265              31             29.564            2
59               205            33.803            2
205              88             377.122           2
88               89             629.167           2
89               90             133.279           2
90               91             348.046           2
91               234            292.890           2
234              109            488.988           2
138              235            289.876           2
235              110            486.724           2
102              106            260.923           2
106              91             163.584           2
48               108            424.074           2
108              109            173.661           2
109              110            99.546            2
110              111            307.915           2
59               204            283.843           2
204              200            141.490           2
200              100            58.270            2
100              199            79.589            2
199              198            39.409            2
198              101            126.245           2
29               30             61.391            2
30               31             73.726            2
31               250            83.164            2
250              197            118.215           2
197              101            297.213           2
101              221            17.083            2
221              139            58.106            2
139              219            135.499           2
139              192            255.849           2
192              191            40.646            2
219              102            161.593           2
191              190            136.287           2
190              105            57.232            2
105              189            164.016           2
189              35             192.864           2
105              104            234.583           2
104              103            215.821           2
102              103            231.926           2
91               138            134.120           2
138              112            175.334           2
112              113            231.121           2
112              92             607.941           2
257              147            122.126           2
147              63             40.062            2
63               64             301.373           2
64               65             102.066           2
65               80             1094.730          2
65               66             199.734           2
66               67             160.587           2
67               68             82.494            2
80               266            137.419           2
266              84             229.414           2
84               267            111.379           2
267              85             105.081           2
85               173            292.341           2
173              172            47.389            2
172              92             324.071           2
93               268            120.757           2
268              114            187.566           2
89               92             314.624           2
92               93             157.180           2
93               238            103.320           2
238              133            308.213           2
133              239            205.049           2
239              134            234.719           2
134              162            109.111           2
162              163            262.039           2
163              240            152.572           2
240              135            240.233           2
114              113            381.948           2
113              115            374.770           2
115              236            318.587           2
236              111            104.733           2
111              220            43.251            2
220              122            406.866           2
122              123            386.736           2
123              175            106.491           2
175              174            85.645            2
174              223            214.064           2
223              224            117.615           2
224              124            203.235           2
16               17             29.271            2
17               214            170.939           2
214              15             252.737           2
15               213            325.904           2
213              14             350.989           2
14               12             118.264           2
4                54             207.605           2
54               55             285.733           2
55               56             322.717           2
56               57             265.110           2
10               9              406.846           2
9                8              518.867           2
9                5              397.022           2
58               60             493.323           2
60               151            140.278           2
151              152            195.395           2
152              83             175.121           2
83               153            145.496           2
153              84             132.257           2
218              62             54.371            2
62               87             317.185           2
87               171            294.189           2
171              170            100.684           2
170              92             238.218           2
85               87             339.222           2
85               94             585.545           2
95               94             247.160           2
94               254            148.806           2
254              99             102.145           2
99               255            387.716           2
255              132            289.008           2
132              133            282.407           2
79               82             232.854           2
82               81             210.573           2
81               80             49.942            2
80               83             280.346           2
83               62             331.043           2
62               86             225.615           2
86               88             187.694           2
88               233            157.868           2
233              201            243.887           2
201              100            101.287           2
132              165            356.708           2
165              164            69.683            2
164              134            155.342           2
134              126            906.518           2
126              127            315.005           2
113              169            632.684           2
169              126            184.148           2
127              244            123.236           2
244              243            67.536            2
243              128            140.377           2
128              129            382.624           2
106              237            294.043           2
237              107            406.021           2
107              108            111.833           2
109              188            457.933           2
188              51             165.675           2
51               52             38.635            2
52               256            422.280           2
256              120            243.488           2
120              118            220.109           2
120              119            204.866           2
119              117            111.094           2
119              116            205.380           2
119              118            55.480            2
35               47             110.855           2
47               187            112.891           2
187              44             77.839            2
44               43             153.456           2
43               42             464.023           2
42               41             481.272           2
49               185            214.324           2
185              186            383.550           2
186              52             96.321            2
44               45             90.521            2
45               46             184.640           2
46               50             291.383           2
50               51             260.280           2
47               48             28.446            2
272              136            100               2
271              1              1000              2
269              52             1                 2
270              209            1                 2 ;

#param dmin := 0.100; # minimum diameter (should match the minimum discrete diameter)
#param dmax := 0.800; # maximum diameter (should match the maximum discrete diameter)
#param d:= 0.0005;   # DO NOT CHANGE
#param p:=1.852;      # DO NOT CHANGE
set Source:= 269 270 271 272 ;  # source nodes

#Diameter's parameters: diameter, cost 

param: pipes:      d         C        R :=
 1                0.100      27.7     130
 2                0.125      38.0     130
 3		  0.150	     40.5     130
 4		  0.200	     55.4     130
 5	       	  0.250	     75.0     130
 6	      	  0.300	    92.4      130
 7		  0.350	    123.1     130
 8		  0.400	    141.9     130
 9		  0.450	    169.3     130
10		  0.500	    191.5     130
11 		  0.600	    246.0     130
12                0.700     319.6     130
13                0.800     391.1     130 ;
