#small network provided by Robert Sitzenfrei (robert.sitzenfrei@uibk.ac.at)
#cite as: Sitzenfrei et al (2022) Dual graph characteristics of water distribution networks - how optimal are design solutions? doi: xxx
#available diameters (mm): [3 4 6 8 10 12 14 16 18 20 22]*25.4      
#costs (€/m): [8 11 16 23 32 50 60 90 110 130 150]


param: nodes:   E       D      		P     	pmax:=         
	139	429.47	0		30	0
	140	429.48	0.00004086	30	0
	141	420.87	0.00012258	30	0
	142	420.69	0		30	0
	143	432.61	0		30	0
	144	432.54	0.00024516	30	0
	145	439.34	0.00008172	30	0
	146	440.69	0.00012258	30	0
	147	442.69	0		30	0
	148	442.69	0		30	0
	149	442.69	0.00004086	30	0
	150	445.69	0		30	0
	151	445.69	0		30	0
	152	445.74	0.00004086	30	0
	154	442.86	0.00008172	30	0
	155	437.13	0.00016344	30	0
	156	439.32	0.00008172	30	0
	157	444.69	0		30	0
	158	444.86	0		30	0
	161	446.4	0		30	0
	162	443.36	0		30	0
	163	443.41	0.0002043	30	0
	164	439.69	0.00008172	30	0
	165	440.38	0.00016344	30	0
	166	457.01	0.00012258	30	0
	169	447.51	0		30	0
	170	443.5	0		30	0
	171	444.69	0		30	0
	172	454.86	0		30	0
	175	453.52	0.00032688	30	0
	196	427.32	0.00004086	30	0
	197	427.05	0.00008172	30	0
	198	428.69	0.00012258	30	0
	199	427.3	0		30	0
	200	440.69	0.00008172	30	0
	201	429.46	0.00004086	30	0
	202	443.48	0		30	0
	204	445.69	0		30	0
	205	446.51	0		30	0
	206	446.44	0.00044946	30	0
	210	405.24	0.00008172	30	0
	211	402.69	0		30	0
	213	402.8	0		30	0
	214	403.06	0.00085806	30	0
	217	402.69	0		30	0
	218	405.15	0		30	0
	219	408.27	0		30	0
	220	404.69	0		30	0
	221	402.69	0		30	0
	222	402.69	0		30	0
	223	405.69	0		30	0
	224	402.69	0		30	0
	225	402.69	0		30	0
	226	404.69	0		30	0
	227	403.6	0		30	0
	228	403.69	0		30	0
	229	402.69	0		30	0
	230	411.03	0		30	0
	231	407.69	0		30	0
	232	405.91	0		30	0
	233	403.66	0		30	0
	234	403.81	0		30	0
	235	407.69	0		30	0
	236	410.28	0		30	0
	237	408.49	0		30	0
	238	404.69	0		30	0
	239	405.68	0		30	0
	240	403.1	0		30	0
	241	403.69	0		30	0
	242	403.69	0		30	0
	243	405.17	0		30	0
	244	408.44	0		30	0
	245	407.69	0		30	0
	246	408.69	0		30	0
	247	414.12	0		30	0
	248	416.31	0		30	0
	249	418.79	0		30	0
	250	418.69	0		30	0
	251	412.69	0		30	0
	252	412.06	0		30	0
	253	413.88	0		30	0
	255	416.69	0		30	0
	256	417.69	0		30	0
	257	421.69	0		30	0
	258	423.69	0		30	0
	259	425.69	0		30	0
	260	426.69	0		30	0
	261	425.69	0		30	0
	262	438.3	0		30	0
	263	433.78	0		30	0
	264	417.8	0		30	0
	265	417.91	0		30	0
	266	416.97	0		30	0
	267	419.26	0		30	0
	268	419.69	0		30	0
	269	426.69	0		30	0
	270	429.52	0		30	0
	271	420.67	0		30	0
	272	432.69	0		30	0
	273	442.69	0		30	0
	274	439.53	0		30	0
	275	444.69	0		30	0
	276	439.97	0		30	0
	278	447.39	0		30	0
	279	444.69	0		30	0
	280	454.82	0		30	0
	291	427.06	0		30	0
	295	402.55	0		30	0
	2       495.19  0    	        0       0;

set Source:= 2;

param: arcs:      				L    		vmax:=
0               	1               	16.71       0
1               	217             	4.1777      0
1               	295             	393.7171    0
3               	4               	41.3325     0
3               	10              	137.4499    0
295             	3               	140.69      0
4               	5               	83.33       0
4               	221             	3.9176      0
5               	6               	34.4509     0
5               	220             	131.9803    0
6               	7               	109.1515    0
6               	210             	19.1138     0
6               	218             	4.4238      0
7               	15              	282.8168    0
7               	219             	5.7884      0
10              	11              	117.0503    0
10              	222             	3.9462      0
11              	12              	34.5341     0
11              	16              	58.041      0
12              	13              	2.9604      0
12              	213             	7.7412      0
13              	14              	148.58      0
13              	211             	5.9953      0
14              	15              	55.6465     0
14              	223             	3.2788      0
23              	15              	143.7638    0
16              	17              	8.1772      0
16              	19              	145.61      0
17              	18              	6.4255      0
17              	24              	31.18       0
18              	224             	5.337       0
18              	225             	3.35        0
19              	20              	3.8775      0
19              	25              	2.6226      0
20              	21              	74.07       0
20              	26              	16.72       0
21              	22              	103.5297    0
21              	226             	5.3597      0
22              	23              	74.4662     0
22              	33              	65.8817     0
39              	22              	166.8963    0
23              	31              	222.5938    0
25              	29              	108.49      0
25              	227             	4.11        0
26              	27              	2.758       0
26              	28              	46.4497     0
27              	30              	11.75       0
27              	228             	4.0562      0
29              	229             	4.4323      0
31              	32              	75.8497     0
31              	230             	4.25        0
36              	32              	64.5278     0
32              	98              	23.4818     0
33              	34              	4.3993      0
33              	231             	5.38        0
34              	35              	76.367      0
34              	41              	148.128     0
35              	36              	45.9735     0
35              	56              	107.0814    0
36              	38              	61.5012     0
40              	39              	62.6765     0
42              	39              	110.4361    0
41              	40              	5.3796      0
40              	232             	4.91        0
41              	55              	53.9629     0
42              	43              	23.9005     0
46              	42              	19.5165     0
42              	59              	67.1711     0
43              	44              	82.5072     0
43              	63              	68.0122     0
44              	45              	44.93       0
44              	233             	4.1997      0
45              	234             	5.9506      0
46              	47              	4.4109      0
48              	46              	64.6314     0
49              	48              	68.3167     0
62              	48              	11.8224     0
50              	49              	41.7166     0
55              	49              	86.6535     0
51              	50              	126.783     0
69              	50              	51.6847     0
50              	235             	5.38        0
54              	51              	5.2452      0
57              	51              	46.9525     0
53              	52              	67.7017     0
52              	54              	11.58       0
84              	53              	31.3946     0
98              	53              	64.9714     0
54              	236             	2.81        0
55              	56              	46.8162     0
56              	57              	58.5191     0
56              	237             	3.87        0
57              	58              	21.17       0
59              	60              	49.689      0
59              	65              	19.6582     0
60              	61              	38.1328     0
60              	238             	4.9472      0
61              	62              	48          0
61              	68              	20.5408     0
62              	239             	2.8711      0
63              	240             	2.2834      0
65              	66              	39.7872     0
65              	241             	5.2024      0
66              	67              	10.248      0
66              	214             	75.0983     0
67              	242             	3.1928      0
68              	69              	147.3815    0
68              	70              	68.0908     0
75              	69              	66.5621     0
70              	71              	19.725      0
70              	76              	123.7253    0
70              	243             	6.1243      0
71              	72              	95.6182     0
72              	73              	58.7129     0
72              	74              	39.98       0
74              	75              	30.9504     0
74              	244             	43.9371     0
79              	75              	37.047      0
75              	81              	2.9002      0
76              	77              	40.6761     0
76              	78              	121.7599    0
76              	245             	4.7067      0
78              	79              	39.8107     0
78              	87              	216.6503    0
79              	80              	95.1701     0
81              	82              	216.4       0
81              	246             	2.8324      0
82              	83              	2.5251      0
82              	247             	7.0947      0
83              	85              	46.2576     0
87              	83              	67.6563     0
85              	84              	60.1862     0
97              	84              	16.2184     0
85              	86              	15.49       0
87              	88              	61.9152     0
88              	89              	74.0304     0
88              	90              	11.96       0
90              	91              	113.8912    0
90              	248             	3.7087      0
91              	92              	61.7727     0
91              	107             	72.1475     0
92              	93              	69.7917     0
92              	118             	74.4025     0
92              	249             	5.5917      0
93              	94              	137.79      0
93              	250             	5.291       0
94              	96              	59.1714     0
94              	106             	13.45       0
106             	95              	20.76       0
96              	97              	63.2807     0
102             	96              	4.8563      0
97              	251             	10.2866     0
98              	99              	42.0933     0
99              	100             	11.7876     0
99              	252             	4.5007      0
100             	101             	84.6062     0
100             	103             	60.1928     0
101             	102             	5.3149      0
101             	105             	104.9906    0
102             	253             	4.6238      0
105             	104             	24.16       0
106             	104             	78.26       0
104             	255             	3.1745      0
107             	108             	30.0613     0
107             	135             	144.4814    0
108             	109             	2.5749      0
108             	133             	51.115      0
109             	110             	72.01       0
109             	256             	3.5383      0
110             	111             	96          0
110             	136             	4.4362      0
111             	112             	7.9077      0
111             	257             	4.8861      0
112             	113             	57.9256     0
112             	126             	46.871      0
113             	114             	55.62       0
113             	258             	4.039       0
114             	115             	10.511      0
114             	259             	13.2223     0
115             	116             	49.7291     0
132             	115             	27.5825     0
116             	117             	28.4817     0
116             	260             	7.3355      0
127             	117             	58.3132     0
117             	128             	202.0918    0
137             	117             	105.1867    0
118             	119             	4.4783      0
118             	120             	39.67       0
120             	122             	32.0411     0
120             	123             	23.7051     0
123             	124             	14.9244     0
123             	137             	162.0824    0
124             	125             	3.5557      0
124             	126             	15.2559     0
126             	127             	118.2957    0
127             	261             	6.0423      0
128             	129             	9.1019      0
128             	263             	6.34        0
129             	130             	3.5453      0
129             	145             	142.8768    0
130             	131             	246.1241    0
130             	156             	132.856     0
130             	200             	153.07      0
131             	132             	183.4202    0
131             	262             	4.2399      0
132             	196             	76.5076     0
133             	134             	73.34       0
133             	264             	3.64        0
134             	265             	10.39       0
135             	266             	3.77        0
136             	267             	3.01        0
136             	268             	61.9847     0
137             	138             	2.7976      0
138             	140             	161.4053    0
138             	144             	188.4794    0
138             	269             	4.0931      0
140             	139             	3.2848      0
139             	141             	304.2911    0
139             	143             	178.9438    0
139             	201             	10.4183     0
140             	270             	7.8585      0
141             	142             	82.53       0
141             	271             	16.9637     0
143             	144             	3.5532      0
143             	272             	3.07        0
144             	155             	137.46      0
145             	146             	69.7215     0
155             	145             	85.497      0
146             	147             	62.5399     0
157             	146             	95.2339     0
147             	148             	2.09        0
147             	152             	88.4026     0
148             	149             	1.98        0
148             	154             	2.4277      0
149             	273             	2.6025      0
151             	150             	1.9343      0
154             	150             	85.3302     0
158             	150             	78.5303     0
152             	151             	2.33        0
152             	169             	57.9384     0
154             	155             	195.8268    0
156             	157             	77.6077     0
156             	274             	3.1244      0
158             	163             	47.27       0
170             	158             	72          0
161             	202             	94.47       0
161             	204             	36.37       0
205             	161             	1.8         0
161             	206             	1.72        0
162             	164             	131.1687    0
162             	170             	6.21        0
202             	162             	2.65        0
164             	165             	75.3336     0
165             	276             	5.23        0
172             	166             	70.633      0
175             	166             	103.6       0
169             	278             	3.6467      0
170             	171             	50.0121     0
171             	172             	229.302     0
171             	279             	3.1         0
172             	280             	3.3366      0
196             	198             	153.12      0
196             	199             	2.81        0
199             	197             	2.93        0
199             	291             	2.6575      0
205             	206             	2.8984      0
2               	205             	300.35      0
206             	275             	18.72       0;

# Available diameters (mm): [3 4 6 8 10 12 14 16 18 20 22] * 25.4
# Costs (¿/m): [8 11 16 23 32 50 60 90 110 130 150]

param: pipes:       d         C       R :=
   1              0.0762      8      130
   2              0.1016     11      130
   3              0.1524     16      130
   4              0.2032     23      130
   5              0.2540     32      130
   6              0.3048     50      130
   7              0.3556     60      130
   8              0.4064     90      130
   9              0.4572    110      130
  10              0.5080    130      130
  11              0.5588    150      130 ;
