#F. Zheng, A.R. Simpson, A.C. Zecchin
#A combined NLP-differential evolution algorithm approach for the optimization of looped water distribution systems
#Water Resour. Res., 47 (8) (2011), p. W08531
###########################################################################################
#Node's parameters: elevation, water demand, minumum pressure, maximum pressure
param: nodes:         E             D                P              pmax :=
103               6.5000      0.000580208      22         0
104               6.5000      0.001072917      22         0
105               6.5000      0.000663889      22         0
106               6.5000      0.000198727      22         0
107               6.5000      0.000053704      22         0
108               6.5000      0.000211343      22         0
109               6.5000      0.000553935      22         0
110               6.5000      0.000000000      22         0
111               6.5000      0.000850694      22         0
112               6.5000      0.000538310      22         0
113               6.5000      0.001219907      22         0
114              45.0000      0.000000000      22         0 ;

#Pipe's parameters: start node, end node, length, maximum velocity
param: arcs:                             L                vmax:=
2               	1               	812.0000   0 
2               	3               	749.0000   0 
4               	3               	616.0000   0 
1               	4               	770.0000   0 
4               	5               	432.0000   0 
5               	6               	1099.0000  0 
7               	6               	546.0000   0 
6               	8               	603.0000   0 
8               	9               	627.0000   0 
7               	10              	1258.0000  0 
9               	10              	563.0000   0 
10              	12              	1327.0000  0 
9               	11              	939.0000   0 
12              	11              	842.0000   0 
11              	14              	739.0000   0 
80              	13              	576.0000   0 
14              	15              	634.0000   0 
12              	15              	858.0000   0 
16              	17              	520.0000   0 
18              	17              	966.0000   0 
15              	18              	575.0000   0 
19              	18              	620.0000   0 
14              	19              	482.0000   0 
20              	19              	757.0000   0 
21              	20              	973.0000   0 
11              	21              	862.0000   0 
22              	21              	510.0000   0 
22              	9               	1174.0000  0 
23              	22              	574.0000   0 
8               	23              	1119.0000  0 
24              	23              	551.0000   0 
6               	24              	1094.0000  0 
25              	89              	388.0000   0 
26              	25              	591.0000   0 
4               	26              	783.0000   0 
27              	85              	300.0000   0 
3               	27              	758.0000   0 
28              	34              	644.0000   0 
29              	28              	1324.0000  0 
30              	29              	601.0000   0 
30              	31              	899.0000   0 
31              	32              	794.0000   0 
32              	27              	652.0000   0 
32              	33              	579.0000   0 
33              	26              	684.0000   0 
33              	35              	595.0000   0 
34              	27              	432.0000   0 
35              	36              	610.0000   0 
36              	24              	758.0000   0 
36              	37              	707.0000   0 
37              	23              	731.0000   0 
37              	38              	708.0000   0 
38              	21              	919.0000   0 
38              	39              	925.0000   0 
39              	20              	815.0000   0 
40              	39              	871.0000   0 
41              	40              	1009.0000  0 
41              	38              	892.0000   0 
42              	41              	534.0000   0 
42              	37              	797.0000   0 
111             	42              	274.0000   0 
43              	36              	776.0000   0 
44              	43              	569.0000   0 
45              	44              	581.0000   0 
31              	45              	552.0000   0 
46              	31              	622.0000   0 
46              	47              	504.0000   0 
47              	45              	635.0000   0 
47              	48              	590.0000   0 
49              	43              	728.0000   0 
49              	50              	686.0000   0 
50              	41              	776.0000   0 
50              	51              	1016.0000  0 
51              	40              	793.0000   0 
54              	52              	992.0000   0 
62              	53              	728.0000   0 
55              	54              	412.0000   0 
56              	55              	446.0000   0 
57              	56              	570.0000   0 
58              	57              	478.0000   0 
58              	46              	830.0000   0 
59              	58              	1030.0000  0 
60              	30              	682.0000   0 
59              	60              	775.0000   0 
53              	61              	866.0000   0 
63              	106             	150.0000   0 
109             	75              	679.0000   0 
64              	94              	830.0000   0 
110             	64              	508.0000   0 
110             	59              	1416.0000  0 
52              	65              	739.0000   0 
54              	66              	716.0000   0 
57              	68              	593.0000   0 
58              	69              	553.0000   0 
66              	65              	930.0000   0 
67              	66              	604.0000   0 
68              	67              	505.0000   0 
69              	68              	454.0000   0 
65              	70              	771.0000   0 
66              	112             	381.0000   0 
94              	75              	1095.0000  0 
74              	73              	402.0000   0 
69              	74              	392.0000   0 
71              	70              	813.0000   0 
72              	71              	766.0000   0 
73              	72              	399.0000   0 
82              	83              	855.0000   0 
81              	82              	857.0000   0 
80              	81              	473.0000   0 
76              	74              	1124.0000  0 
79              	80              	1025.0000  0 
76              	79              	1125.0000  0 
78              	79              	1003.0000  0 
77              	78              	954.0000   0 
77              	76              	1200.0000  0 
110             	77              	435.0000   0 
83              	84              	581.0000   0 
82              	86              	825.0000   0 
81              	87              	854.0000   0 
85              	26              	293.0000   0 
86              	84              	1118.0000  0 
87              	86              	435.0000   0 
84              	88              	602.0000   0 
90              	88              	806.0000   0 
89              	24              	485.0000   0 
86              	90              	837.0000   0 
91              	90              	390.0000   0 
87              	91              	1061.0000  0 
91              	98              	628.0000   0 
100             	98              	543.0000   0 
113             	100             	740.0000   0 
104             	100             	988.0000   0 
79              	104             	1859.0000  0 
105             	104             	405.0000   0 
103             	105             	1473.0000  0 
78              	103             	1834.0000  0 
88              	92              	1155.0000  0 
90              	92              	1093.0000  0 
92              	93              	552.0000   0 
96              	93              	1314.0000  0 
95              	93              	621.0000   0 
97              	95              	615.0000   0 
97              	96              	950.0000   0 
98              	97              	467.0000   0 
99              	96              	1049.0000  0 
100             	99              	1560.0000  0 
101             	99              	637.0000   0 
104             	101             	1621.0000  0 
102             	101             	1024.0000  0 
105             	102             	1393.0000  0 
103             	102             	1817.0000  0 
75              	106             	747.0000   0 
64              	107             	543.0000   0 
107             	108             	721.0000   0 
108             	109             	882.0000   0 
64              	109             	966.0000   0 
109             	63              	635.0000   0 
75              	53              	607.0000   0 
94              	61              	450.0000   0 
106             	62              	200.0000   0 
43              	111             	228.0000   0 
112             	71              	413.0000   0 
13              	113             	681.0000   0 
110             	114             	2013.0000  0 
;

set Source:= 114 ;

param: pipes:   d       C      	   R:=
1               0.150   24.53      130
2               0.200   35.20      130
3               0.250   47.388     130
4               0.300   61.16      130
5               0.350   76.45      130
6               0.400   93.61      130
7               0.450   113.784    130
8               0.500   134.024    130
9               0.600   180.158    130
10              0.700   234.74     130
11              0.750   261.228    130
12              0.800   291.742    130        
13              0.900   355.322    130
14              1.000   426.69     130
;
